name	brand	sale_day	sale_price	description	weight
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	279,970₮	-28%	1.18
Ухаалаг суултуур DOBIDOS	Dobidos	55	639,970₮	-28%	DB-4000
Хөргөгч LG GC-B257SQZV	LG	00	3,219,990₮	-28%	Side-by-Side
Гар Холигч RUSSELL	RUSSELL HOBBS	55	209,970₮	-28%	Улаан
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	179,970₮	-28%	1
Гар тоос сорoгч DYSON	DYSON	55	3,949,970₮	-28%	Шаргал
Хөргөгч HITACHI R-VGX470PG9	HITACHI	55	3,099,970₮	-28%	297 л
Хөргөгч BEKO GN163120ZW	BEKO	55	3,099,970₮	-28%	Side-by-Side
Тавцан плитка BEKO	BEKO	55	1,299,970₮	-28%	Керамик
Комбайн Russell Hobbs	RUSSELL HOBBS	55	409,970₮	-28%	600Вт
Чихэвч House of Marley	The House of Marley	55	179,970₮	-28%	04HDHOMJE103SB
Gaming mouse Vertux	VERTUX	55	149,970₮	-28%	0.108
Зурагт MONEL LE-40N6AMN.UNI	MONEL	33	519,990₮	-28%	40 инч
Хөргөгч HITACHI R-B410PG6X	HITACHI	55	2,799,970₮	-28%	Stylish Bottom Freezer
Хөлдөөгч MONEL FRML120DXW	MONEL	55	1,299,970₮	-28%	120 л
Зурагт LG OLED65C3RLA	LG	33	7,299,990₮	-27%	65 инч
Gaming Чихэвч Vertux	VERTUX	55	79,970₮	-27%	0.72
Гар Холигч MOULINEX	MOULINEX	55	219,970₮	-27%	Цагаан
Компьютер, утасны суурь	PROMATE	55	44,970₮	-27%	0.78
Хиншүү сорогч GORENJE	GORENJE	55	1,199,970₮	-27%	16.7
Ухаалаг суултуур DOBIDOS	Dobidos	55	739,970₮	-27%	DB-8800
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	359,970₮	-27%	1.2
Ус буцалгагч MORPHY	MORPHY RICHARDS	55	359,970₮	-27%	103011
Ус буцалгагч MORPHY	MORPHY RICHARDS	55	359,970₮	-27%	1.2
Шарах шүүгээ BOSCH	BOSCH	55	2,699,970₮	-27%	71 л
Компьютерын хулгана PROMATE	PROMATE	55	26,970₮	-27%	0.15
Компьютерын хулгана PROMATE	PROMATE	55	26,970₮	-27%	0.2
Талх баригч RUSSELL	RUSSELL HOBBS	55	439,970₮	-27%	650Вт
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	159,970₮	-27%	1.2
Чихэвч PROMATE Ice	PROMATE	55	10,970₮	-27%	0.04
Хөргөгч HITACHI R-WB560PG7	HITACHI	55	4,099,970₮	-27%	343 л
Комбайн GORENJE MMC1000W	GORENJE	55	669,970₮	-27%	1000Вт
Индукцин плитка BEKO	BEKO	55	949,970₮	-27%	Индукц
Gaming keyboard Vertux	VERTUX	55	189,970₮	-27%	04KBVXVPro
Гар Холигч Russell	RUSSELL HOBBS	55	219,970₮	-27%	700Вт
Хөргөгч HITACHI R-VGY470PG0	HITACHI	55	3,299,970₮	-27%	Glass Stylish Line
Хөргөгч HITACHI R-VGY470PG0	HITACHI	55	3,299,970₮	-27%	Glass Stylish Line
Угаалгын машин HITACHI	HITACHI	55	2,999,970₮	-27%	Бүрэн автомат
Будаа агшаагч MONEL RI-18SS	MONEL	00	109,970₮	-27%	RI-18SS
Печь SAMSUNG ME88SUB/BW	SAMSUNG	00	328,990₮	-27%	23л
Угаалгын машин SAMSUNG	SAMSUNG	22	1,249,970₮	-26%	Бүрэн автомат
Угаалгын машин SAMSUNG	SAMSUNG	22	1,699,970₮	-26%	Бүрэн автомат
Угаалгын машин BEKO	BEKO	55	1,249,970₮	-26%	62
Шарах шүүгээ Hansa	Hansa	55	1,699,970₮	-26%	77 л
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	139,970₮	-26%	1.7
Ус буцалгагч Russell	RUSSELL HOBBS	55	199,970₮	-26%	28130-70
Чихэвч House of	House of Marley	55	45,970₮	-26%	0.02
Чихэвч House of	House of Marley	55	45,970₮	-26%	0.02
Чихэвч House of	House of Marley	55	45,970₮	-26%	0.02
Печь HITACHI HMR-DG2012	HITACHI	55	509,970₮	-26%	1000Вт
Печь HITACHI HMR-DG2312	HITACHI	55	669,970₮	-26%	HMR-DG2312
Ус буцалгагч Russell	RUSSELL HOBBS	55	199,970₮	-26%	26300-70
Электрон сойзны толгой	PHILIPS	55	115,970₮	-26%	0.06
Талх шарагч MORPHY	MORPHY RICHARDS	55	309,970₮	-26%	850вт
Талх шарагч MORPHY	MORPHY RICHARDS	55	309,970₮	-26%	850вт
Талх шарагч MORPHY	MORPHY RICHARDS	55	309,970₮	-26%	850вт
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	459,970₮	-26%	1.09
Угаалгын машин HITACHI	HITACHI	55	2,899,970₮	-26%	Бүрэн автомат
Хөргөгч SAMSUNG RS62R50311L	SAMSUNG	00	4,089,990₮	-26%	Side-by-Side
Шарах шүүгээ BEKO	BEKO	55	729,970₮	-26%	71 л
Хөргөгч HITACHI R-VX470PG9	HITACHI	55	2,499,970₮	-26%	Дээрээ хөлдөөгчтэй
Гар Холигч Russell	RUSSELL HOBBS	55	139,970₮	-26%	Цагаан
Ус буцалгагч Russell	RUSSELL HOBBS	55	169,970₮	-26%	04JKRH24993
Гар Тоос сорогч DYSON	DYSON	55	3,649,970₮	-26%	Шар
Ус буцалгагч Russell	RUSSELL HOBBS	55	199,970₮	-26%	1.535
Хөргөгч HITACHI R-VGX470PG9	HITACHI	55	3,199,970₮	-26%	Дээрээ хөлдөөгчтэй
Утасгүй цэнэглэгч BASEUS	BASEUS	55	89,970₮	-26%	04PBBATZWXJKA01
Угаалгын машин/Хагас автомат/	HITACHI	55	1,399,970₮	-26%	Хагас автомат
Хөргөгч HITACHI R-W660PG7X	HITACHI	55	4,999,970₮	-26%	Big French Top Freezer
Хөргөгч HITACHI R-B410PG6X	HITACHI	55	2,899,970₮	-26%	Stylish Bottom Freezer
Печь LG MS2535GISH	LG	00	517,990₮	-26%	LED
Угаалгын машин LG F2J3NS0W	LG	55	1,249,970₮	-26%	Бүрэн автомат
Индүү MONEL ML8060	MONEL	00	56,970₮	-26%	Цэнхэр
Зурагт LG 75QNED756RA	LG	33	5,999,990₮	-25%	75 инч
Угаалгын машин SAMSUNG	SAMSUNG	22	1,349,970₮	-25%	Бүрэн автомат
Угаалгын машин LG	LG	55	1,499,970₮	-25%	Бүрэн автомат
Зурагт LG 65QNED816RA	LG	33	4,499,990₮	-25%	50 инч
Холигч MOULINEX LM81G810	MOULINEX	55	599,970₮	-25%	1200Вт
Комбайн MOULINEX QA150110	MOULINEX	55	749,970₮	-25%	800Вт
Компьютерын хулгана Promate	PROMATE	55	29,970₮	-25%	0.15
Печь HITACHI HMR-M2002	HITACHI	55	439,970₮	-25%	20л
Талх шарагч Russell	RUSSELL HOBBS	55	599,970₮	-25%	850вт
Компьютерын хулгана Promate	PROMATE	55	29,970₮	-25%	0.15
Компьютерын хулгана Promate	PROMATE	55	29,970₮	-25%	0.15
Хиншүү сорогч GORENJE	GORENJE	55	1,199,970₮	-25%	Хар саарал
Чихэвч Baseus Encok	BASEUS	55	71,970₮	-25%	0.04
Зурагт SAMSUNG QE55LS03BAUXCE	SAMSUNG	00	4,489,970₮	-25%	55 инч
Ухаалаг суултуур DOBIDOS	Dobidos	55	799,970₮	-25%	DB-5600
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	299,970₮	-25%	1.15
Гар Тоос сорогч MORPHY	MORPHY RICHARDS	55	979,970₮	-25%	Улаан
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	469,970₮	-25%	1.1
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	299,970₮	-25%	1.15
Гар Gaming Vertux	VERTUX	55	59,970₮	-25%	0.88
Тавцан плитка BOSCH	BOSCH	55	1,649,970₮	-25%	Керамик
Хөргөгч HITACHI R-VG610PG7	HITACHI	55	3,899,970₮	-25%	Дээрээ хөлдөөгчтэй
