mark	price	produced_year	imported_year	distance	motor_volume	color	type	hurd	hodolguur
Toyota Harrier	32.0	2006	2021	247000 км.	2.4 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 50	27.8	2016	2024	184455 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Caravan	14.0	2004	2022	160000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Vitz	8.0	2009	2018	168000 км.	1.3 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	8.7	2005	2016	200000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota bB	15.0	2013	2023	132000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	45.0	2013	2023	194000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	62.0	2014	2024	150000 км.	2.5 л	Бусад	Жийп	Буруу	Хайбрид
Toyota Aqua	19.0	2014	2024	1000000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Kluger	52.0	2013	2019	102000 км.	3.5 л	Бусад	Жийп	Буруу	Бензин
Toyota Crown	64.5	2016	2024	160000 км.	3.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	35.0	2005	2020	20000 км.	3.3 л	Хар	Жийп	Буруу	Бензин
Toyota Harrier	60.0	2014	2020	1500000 км.	2.5 л	Бусад	Жийп	Буруу	Хайбрид
Lexus RX	37.0	2010	2013	120000 км.	3.5 л	Шаргал	Жийп	Зөв	Хайбрид
Toyota Land Cruiser Prado	87.0	2014	2022	159000 км.	2.7 л	Шаргал	Жийп	Буруу	Бензин
Nissan Teana	38.0	2016	2017	80000 км.	2.5 л	Цагаан шар	Суудлын тэрэг	Зөв	Бензин
Lexus HS	29.0	2010	2021	50 км.	2.9 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	16.3	2014	2024	214000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	18.6	2013	2021	197600 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus HS	36.8	2012	2024	120000 км.	2.4 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Premio	9.5	2005	2014	158653 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Бензин
Toyota Vitz	4.5	2006	2012	555555 км.	1.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	23.0	2014	2021	180000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	13.8	2007	2018	224 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	12.3	2004	2017	220000 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	14.9	2014	2024	200000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	22.5	2011	2021	150000 км.	2.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus RX	86.0	2014	2023	74000 км.	3.5 л	Цагаан шар	Жийп	Буруу	Бензин
Lexus ES	43.9	2014	2024	50000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus HS	32.0	2009	2022	160000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	18.9	2016	2024	160000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	60.0	2015	2020	167000 км.	3.4 л	Хар	Жийп	Зөв	Бензин
Toyota Land Cruiser 200	70.0	2010	2011	190000 км.	4.6 л	Шаргал	Жийп	Зөв	Дизель
Toyota Harrier	58.0	2014	2024	200000 км.	Цахилгаан	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	22.0	2011	2023	0 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus ES	139.0	2019	2024	50000 км.	2.5 л	Шаргал	Суудлын тэрэг	Зөв	Хайбрид
Nissan Juke	18.5	2012	2022	90000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	23.8	2010	2024	169000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	34.8	2013	2024	91000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	21.0	2012	2022	210000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Hyundai Starex	40.0	2015	2023	80000 км.	2.5 л	Саарал	Жийп	Зөв	Дизель
Toyota Fielder	22.0	2014	2023	290000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Nissan Vanette	11.5	2011	2021	58000 км.	2.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Alphard	25.0	2006	2023	178000 км.	2.5 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 40	30.2	2012	2024	180 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	24.0	2007	2017	200000 км.	2.4 л	Хар	Жийп	Буруу	Бензин
Mercedes-Benz CLS-Class	18.0	2007	2014	130000 км.	3.5 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Suzuki Vitara	85.0	2023	2023	7000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
Acura CL	9.8	2024	2004	1800000 км.	0.5 л	Бусад	Суудлын тэрэг	Зөв	Бензин
Toyota Land Cruiser 200	185.0	2018	2024	160000 км.	4.6 л	Хар	Жийп	Буруу	Бензин
Toyota Kluger	28.0	2006	2021	181000 км.	3.3 л	Саарал	Жийп	Буруу	Хайбрид
Toyota Prius 40	30.8	2013	2024	111111 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Vanguard	25.0	2010	2019	100000 км.	2.5 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 20	8.5	2004	2015	3600 км.	1.5 л	Бор	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	34.0	2006	2021	140000 км.	3.3 л	Цагаан шар	Жийп	Буруу	Бензин
Toyota Prius 20	12.0	2005	2017	220 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Sonata Hybrid	25.5	2014	2023	93000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Хайбрид
Toyota Harrier	62.8	2016	2024	136000 км.	Цахилгаан	Хар	Суудлын тэрэг	Буруу	Бензин
Hyundai Starex	13.0	2009	2019	272000 км.	2.3 л	Саарал	Суудлын тэрэг	Зөв	Дизель
Mercedes-Benz GL-Class	250.0	2017	2024	51519 км.	3.0 л	Шаргал	Жийп	Зөв	Дизель
Toyota Land Cruiser Prado	100.0	2017	2023	300000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Harrier	19.0	2006	2015	160 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	12.5	2014	2020	10 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	33.0	2014	2014	160 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	78.5	2012	2020	112000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Corona	2.0	1997	2006	250000 км.	1.6 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Nissan Navara	21.0	2008	2021	204000 км.	3.1 л	Хар	Суудлын тэрэг	Буруу	Дизель
Toyota Camry	29.0	2012	2023	175000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus HS	35.0	2013	2022	100000 км.	2.4 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	12.0	2003	2015	26000000 км.	2.4 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Toyota Hiace	30.0	2009	2019	150000 км.	3.0 л	Хар	Гэр бүлийн	Буруу	Дизель
Toyota Prius 40	29.0	2013	2022	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Mark	3.0	1997	2006	111111111 км.	2.0 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Subaru XV Crosstrek	32.0	2016	2018	24000 км.	2.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	15.5	2011	2018	2000000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Mercedes-Benz S-Class	138.0	2014	2022	125000 км.	3.0 л	Хар	Суудлын тэрэг	Зөв	Хайбрид
Toyota Aqua	15.5	2012	2022	190000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Land Cruiser 200	149.0	2016	2016	154000 км.	4.5 л	Хар	Жийп	Зөв	Дизель
Toyota Prius 40	29.5	2012	2023	190000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Kluger	33.0	2005	2023	130000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Hilux	80.0	2006	2023	19 км.	4.0 л	Саарал	Жийп	Буруу	Бензин
Toyota Harrier	56.8	2015	2022	168000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Aqua	18.3	2012	2024	170000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Subaru Impreza	13.8	2013	2019	11111 км.	1.6 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus RX	97.0	2017	2024	117400 км.	3.5 л	Бусад	Жийп	Буруу	Хайбрид
Mazda Tribute	11.5	2003	2012	270000 км.	2.3 л	Хар	Жийп	Буруу	Бензин
Lexus RX	65.0	2014	2022	189000 км.	3.5 л	Бор	Жийп	Буруу	Хайбрид
Toyota Harrier	40.0	2007	2023	110 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Harrier	33.5	2005	2021	168000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Mercedes-Benz E-Class	38.3	2013	2018	110000 км.	3.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
Hyundai Sonata	9.5	2010	2017	500000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Lexus RX	66.0	2014	2021	62500 км.	3.5 л	Цагаан шар	Суудлын тэрэг	Зөв	Хайбрид
Hyundai Sonata	13.0	2011	2015	160000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Alphard	16.5	2005	2019	130000 км.	1.8 л	Цагаан шар	Гэр бүлийн	Буруу	Бензин
Toyota Sai	24.0	2011	2021	200000 км.	2.3 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	17.0	2010	2020	180000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	12.5	2009	2016	111111 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	32.5	2014	2024	115582 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	23.5	2014	2022	220000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	28.9	2012	2024	159000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	16.8	2010	2019	1088 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	93.0	2016	2020	96000 км.	3.5 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Land Cruiser Prado	80.0	2011	2021	94000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Toyota Aqua	15.0	2012	2022	173000 км.	1.5 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Sai	34.5	2013	2024	174000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	39.0	2012	2024	140000 км.	2.5 л	Саарал	Суудлын тэрэг	Зөв	Хайбрид
Toyota Sai	21.0	2010	2020	130 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Бензин
Subaru XV Crosstrek	50.0	2018	2023	38000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Toyota Axio	7.5	2007	2013	22000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	25.8	2012	2022	150000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	92.0	2016	2019	77492 км.	3.5 л	Шаргал	Суудлын тэрэг	Зөв	Бензин
Toyota Harrier	45.0	2006	2024	192000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Lexus GS	48.8	2012	2024	167000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	41.0	2014	2022	1800000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	13.5	2009	2017	300 км.	1.7 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	28.8	2011	2024	160000 км.	3.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 10	5.5	2001	2015	11111 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 55	33.5	2018	2024	180000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	22.5	2011	2024	171000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	26.8	2006	2018	180000 км.	3.3 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Ford Expedition	40.0	2010	2010	100000 км.	5.3 л	Цагаан шар	Жийп	Зөв	Бензин
Lexus NX	105.0	2017	2023	80 км.	2.5 л	Хар	Жийп	Зөв	Хайбрид
Toyota Prius 20	12.5	2007	2017	228000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Hyundai Sonata	30.0	2016	2024	132119 км.	2.0 л	Саарал	Суудлын тэрэг	Зөв	Бензин
Kia Optima/K5	7.5	2010	2017	40000000 км.	5.9 л	Хар	Суудлын тэрэг	Зөв	Газ
Lexus RX	55.0	2009	2023	120000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Lexus RX	63.5	2014	2024	96500 км.	3.5 л	Бусад	Жийп	Буруу	Хайбрид
Toyota Land Cruiser Prado	105.0	2018	2024	91000 км.	2.7 л	Шаргал	Жийп	Буруу	Бензин
Toyota Prius 30	18.0	2011	2020	125000 км.	1.7 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	24.8	2010	2022	180000 км.	3.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	22.5	2004	2024	33000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Kluger	110.0	2021	2022	42400 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Volkswagen Passat	48.0	2015	2023	85000 км.	1.8 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Harrier	56.0	2015	2024	92000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	14.9	2010	2018	160000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	16.0	2011	2019	159400 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	175.0	2018	2018	59000 км.	4.5 л	Шаргал	Жийп	Зөв	Дизель
Toyota Prius 20	10.8	2007	2016	0 км.	1.4 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	38.0	2013	2024	150000 км.	2.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	14.5	2015	2021	200000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	15.0	2010	2017	260000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	26.0	2015	2024	81000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	138.0	2014	2023	100000 км.	4.7 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 30	21.0	2023	2023	0 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Chevrolet Van	12.0	2001	2010	100 км.	5.4 л	Цагаан шар	Суудлын тэрэг	Зөв	Бензин
Lexus LX	280.0	2018	2018	60000 км.	5.7 л	Шаргал	Жийп	Зөв	Бензин
Toyota Harrier	35.0	2007	2021	137000 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Aqua	19.5	2015	2022	140000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Volkswagen Tiguan	24.0	2012	2012	73000 км.	2.0 л	Бусад	Жийп	Зөв	Бензин
Toyota RAV4	81.0	2021	2022	20000 км.	2.4 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 20	15.5	2005	2021	177777 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	17.5	2007	2022	185000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Vellfire	40.0	2009	2024	167000 км.	2.4 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Sai	27.0	2010	2024	183700 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	24.0	2013	2022	200 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	14.5	2009	2018	290000 км.	1.7 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	13.5	2012	2021	138000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	34.9	2013	2023	20000 км.	2.4 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	50.0	2014	2024	156000 км.	2.4 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Fielder	26.0	2017	2023	189000 км.	1.5 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Crown	59.0	2016	2023	93000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 50	31.0	2016	2024	150000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	60.0	2011	2024	83000 км.	3.5 л	Бусад	Жийп	Буруу	Хайбрид
Lexus LX	205.0	2016	2016	122000 км.	4.5 л	Хар	Жийп	Зөв	Дизель
Toyota Prius 30	25.3	2011	2024	150000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	23.8	2011	2024	140000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	24.8	2010	2024	111111 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	110.0	2015	2015	160000 км.	4.0 л	Хар	Жийп	Зөв	Бензин
Lexus LS	98.0	2018	2023	66000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	29.3	2011	2024	136000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	26.0	2013	2024	256000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Vellfire	31.8	2014	2024	141000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Honda Insight	5.8	2009	2019	210000 км.	1.3 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	16.5	2010	2019	0 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	22.0	2011	2019	21600000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Mercedes-Benz E-Class	140.0	2018	2024	62000 км.	2.0 л	Бор	Суудлын тэрэг	Зөв	Бензин
Toyota Prius 30	24.2	2013	2024	165000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	25.8	2007	2022	226000 км.	2.4 л	Цагаан шар	Гэр бүлийн	Буруу	Хайбрид
Chevrolet Бусад	48.0	2018	2022	30000 км.	1.3 л	Хар	Жийп	Зөв	Бензин
Toyota Alphard	15.0	2008	2015	200 км.	1.8 л	Бусад	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 40	29.0	2014	2023	138 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	23.5	2011	2021	160000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	56.8	2010	2024	161000 км.	Цахилгаан	Хар	Суудлын тэрэг	Буруу	Бензин
Subaru Forester	30.0	2013	2019	200 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
SsangYong Rexton	20.0	2011	2011	127000 км.	3.2 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 20	14.3	2007	2018	140000 км.	1.3 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lada Niva	30.0	2020	2020	400 км.	1.7 л	Хар	Жийп	Зөв	Бензин
Nissan Murano	23.0	2011	2019	150 км.	2.5 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 20	18.5	2006	2021	2000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	9.8	2012	2018	200000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	11.5	2013	2018	1000000 км.	1.1 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Subaru Бусад	48.0	2014	2023	109224 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	16.0	2008	2019	172000 км.	Цахилгаан	Саарал	Суудлын тэрэг	Буруу	Бензин
Hyundai Santa-Fe	42.0	2013	2013	78000 км.	2.4 л	Бусад	Жийп	Зөв	Бензин
Toyota Harrier	41.0	2007	2023	110000 км.	3.3 л	Шаргал	Жийп	Буруу	Хайбрид
Toyota Estima	16.0	2008	2019	1 км.	2.4 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 30	17.0	2012	2019	2400000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	37.5	2016	2023	120000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Porsche Cayenne	315.0	2022	2023	4700 км.	2.9 л	Шаргал	Жийп	Зөв	Бензин
Toyota Harrier	46.0	2008	2023	216000 км.	3.3 л	Саарал	Жийп	Буруу	Хайбрид
Toyota Succeed	23.5	2018	2024	174 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	12.0	2006	2016	0 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	24.7	2013	2024	270000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Volkswagen Touareg	30.0	2008	2011	166000 км.	3.6 л	Хар	Жийп	Зөв	Бензин
Toyota Crown	50.0	2014	2022	180000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	21.5	2010	2024	208000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	62.0	2014	2024	187000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Aqua	17.0	2013	2023	73000 км.	1.5 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	27.0	2013	2022	157242 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	108.0	2011	2012	120000 км.	5.7 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Harrier	44.0	2007	2023	90000 км.	3.5 л	Цагаан шар	Жийп	Буруу	Бензин
Toyota Prius 40	28.8	2013	2024	112000 км.	1.8 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Toyota Land Cruiser 200	170.0	2016	2016	120 км.	4.5 л	Цагаан шар	Жийп	Зөв	Дизель
Lexus NX	85.0	2018	2023	52000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Lexus RX	99.0	2016	2023	177000 км.	3.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	63.0	2014	2021	14659 км.	3.4 л	Хар	Жийп	Буруу	Хайбрид
Toyota Vellfire	39.0	2012	2022	149000 км.	2.4 л	Шаргал	Гэр бүлийн	Буруу	Бензин
Hyundai Sonata	6.0	2010	2016	2000000 км.	1.6 л	Хар	Суудлын тэрэг	Зөв	Газ
Hyundai Sonata	9.5	2013	2018	411068 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Toyota Harrier	41.0	2007	2023	115000 км.	2.4 л	Хар	Жийп	Буруу	Бензин
Mitsubishi Delica	12.0	2000	2006	123456 км.	3.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	34.8	2007	2022	70000 км.	2.4 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 40	30.0	2012	2024	160 км.	1.8 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 20	8.5	2003	2015	100000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Camry	49.0	2016	2024	63000 км.	2.5 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Fielder	26.9	2017	2024	111111 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	18.5	2005	2015	210000 км.	2.4 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Camry	26.5	2013	2019	24500 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Бусад	24.0	2001	2005	224602 км.	3.4 л	Шаргал	Жийп	Буруу	Бензин
Toyota Prius 30	21.5	2011	2024	108000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	55.0	2009	2024	180000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Crown	48.0	2016	2024	149000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Ford F-сери	250.0	2020	2020	120 км.	3.5 л	Саарал	Жийп	Зөв	Бензин
Toyota Land Cruiser 200	138.0	2020	2020	80000 км.	4.0 л	Саарал	Жийп	Зөв	Бензин
Toyota Prius 30	21.5	2010	2024	174000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Kluger	115.0	2021	2023	37700 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Lexus RX	160.0	2017	2023	59578 км.	3.5 л	Хар	Жийп	Зөв	Бензин
Toyota Camry	32.0	2012	2024	132 км.	2.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Nissan NV200	15.0	2012	2024	194 км.	1.6 л	Хар	Суудлын тэрэг	Буруу	Бензин
Kia Бусад	5.0	2006	2012	2258989 км.	1.9 л	Хар	Суудлын тэрэг	Зөв	Газ
Lexus HS	27.0	2010	2022	150000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Probox	21.88	2017	2024	280300 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	31.0	2011	2024	170000 км.	1.9 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	22.0	2007	2024	132000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	31.5	2013	2024	113000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	26.5	2012	2023	140000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
