mark	price	produced_year	imported_year	distance	motor_volume	color	type	hurd	hodolguur
Lexus RX	88.0	2017	2024	116000 км.	3.5 л	Бор	Жийп	Буруу	Хайбрид
Toyota Land Cruiser 105	55.0	2007	2013	200000 км.	4.7 л	Шаргал	Жийп	Зөв	Дизель
Toyota Prius 40	27.8	2014	2024	200000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus LX	218.0	2016	2016	80000 км.	4.4 л	Бор	Жийп	Зөв	Дизель
Toyota Prius 40	23.5	2013	2020	100000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota C-HR	48.0	2018	2020	48000 км.	1.2 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	37.0	2017	2022	160000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Audi A3	25.0	2013	2017	63000 км.	1.6 л	Хар	Суудлын тэрэг	Зөв	Дизель
Toyota Prius 40	29.2	2013	2024	178000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	9.0	2004	2014	12000 км.	4.9 л	Бусад	Суудлын тэрэг	Зөв	Бензин
Toyota Highlander	48.0	2008	2024	210000 км.	3.5 л	Бусад	Жийп	Зөв	Бензин
Toyota Estima	33.0	2010	2024	148000 км.	2.4 л	Саарал	Гэр бүлийн	Буруу	Бензин
Toyota Harrier	62.0	2015	2022	120000 км.	2.5 л	Бусад	Жийп	Буруу	Хайбрид
Toyota Prius 40	37.0	2015	2024	123000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	75.0	2009	2010	20 км.	4.6 л	Цагаан шар	Жийп	Зөв	Дизель
Toyota Prius 40	29.5	2015	2020	83100 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	57.0	2013	2018	65000 км.	3.5 л	Шаргал	Жийп	Зөв	Бензин
Toyota Hilux	52.0	2008	2021	194000 км.	2.7 л	Хар	Жийп	Буруу	Бензин
Lexus HS	26.8	2010	2022	170000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	22.5	2010	2023	190000 км.	Цахилгаан	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	13.5	2012	2017	260000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	114.0	2019	2022	55000 км.	2.7 л	Шаргал	Жийп	Буруу	Бензин
Toyota Prius 30	23.0	2014	2024	2000000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	52.0	2014	2021	160000 км.	2.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Allion	11.0	2007	2016	100000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	29.5	2012	2024	840000 км.	1.8 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 20	10.5	2006	2015	175000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	19.5	2013	2018	237 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	76.0	2017	2024	98000 км.	2.5 л	Саарал	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 40	35.6	2015	2024	122000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Mercedes-Benz GL-Class	35.0	2008	2009	120000 км.	0.4 л	Хар	Жийп	Зөв	Бензин
Toyota Crown	36.5	2014	2024	100000 км.	2.5 л	Бор	Суудлын тэрэг	Буруу	Бензин
Volkswagen Golf	21.0	2013	2022	109000 км.	1.2 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Harrier	38.0	2007	2021	165000 км.	3.3 л	Хар	Суудлын тэрэг	Буруу	Бензин
Hyundai Avante	6.0	2007	2010	230000 км.	1.6 л	Саарал	Суудлын тэрэг	Зөв	Бензин
Toyota Aqua	12.0	2012	2021	3000000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	125.0	2015	2015	154000 км.	4.6 л	Шаргал	Жийп	Зөв	Дизель
Toyota Estima	49.9	2012	2022	149000 км.	3.5 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Aqua	20.0	2015	2024	104000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Vellfire	60.0	2013	2023	205000 км.	3.5 л	Цагаан шар	Гэр бүлийн	Буруу	Бензин
Toyota Prius 30	17.0	2014	2020	2900000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	21.0	2013	2022	300000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Vanguard	27.0	2009	2018	230000 км.	3.5 л	Хар	Жийп	Буруу	Бензин
Nissan Note	5.0	2006	2013	50000 км.	0.7 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 40	25.5	2011	2024	210000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	130.0	2016	2023	158000 км.	3.5 л	Бор	Жийп	Зөв	Хайбрид
Toyota Aqua	10.0	2012	2017	222500 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Noah	34.8	2014	2024	170000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Vitz	8.0	2012	2017	258252 км.	0.9 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus GS	49.8	2013	2022	86000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Rumion	13.8	2009	2019	150000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Sai	23.8	2009	2022	156 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	36.0	2013	2022	140000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	52.0	2009	2023	180000 км.	3.5 л	Саарал	Жийп	Буруу	Бензин
Toyota Prius 20	13.0	2005	2018	13 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Автомашин Бусад	90.0	2023	2023	0 км.	1.5 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	24.5	2010	2024	107000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus HS	30.8	2010	2023	120000 км.	2.4 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 100	70.0	2007	2013	156800 км.	4.7 л	Шаргал	Жийп	Зөв	Бензин
Toyota Prius 40	28.9	2011	2024	236000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	20.0	2007	2024	137700 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus HS	31.5	2013	2018	148 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	45.0	2010	2020	139000 км.	3.5 л	Шаргал	Жийп	Буруу	Хайбрид
Toyota Sai	21.0	2010	2021	200 км.	2.4 л	Саарал	Жийп	Буруу	Бензин
Toyota Land Cruiser 200	75.5	2008	2009	100000 км.	4.5 л	Цагаан шар	Жийп	Зөв	Дизель
Toyota Prius 30	23.0	2015	2024	142000 км.	1.8 л	Хар	Жийп	Буруу	Хайбрид
Hyundai Grace	6.5	2003	2013	280000 км.	1.8 л	Бусад	Гэр бүлийн	Зөв	Дизель
Toyota Harrier	63.0	2014	2023	140000 км.	2.5 л	Бусад	Жийп	Буруу	Хайбрид
Subaru Forester	23.0	2016	2019	100000 км.	2.5 л	Хар	Жийп	Буруу	Дизель
Toyota Land Cruiser 200	169.0	2016	2017	98000 км.	4.6 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Land Cruiser Prado	85.0	2012	2022	120000 км.	2.7 л	Шаргал	Жийп	Буруу	Бензин
Nissan NV200	14.5	2010	2024	190000 км.	1.6 л	Хар	Гэр бүлийн	Буруу	Бензин
Lexus NX	87.0	2016	2023	48000 км.	2.0 л	Саарал	Жийп	Буруу	Бензин
Lexus RX	65.0	2013	2022	129000 км.	3.5 л	Бор	Жийп	Буруу	Хайбрид
BMW 3-сери	15.0	2010	2019	1 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Harrier	59.0	2015	2024	103000 км.	2.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	29.8	2011	2024	200000 км.	1.8 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 300	270.0	2022	2022	34000 км.	3.5 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Prius 40	26.6	2013	2024	160000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus NX	230.0	2022	2023	3000 км.	2.4 л	Хар	Суудлын тэрэг	Зөв	Бензин
Lexus GS	41.0	2013	2024	120000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Crown	83.0	2018	2024	97000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	44.0	2015	2024	125000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Хайбрид
Toyota Prius 40	28.8	2014	2023	207000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	42.0	2015	2023	145 км.	4.9 л	Цагаан шар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	7.3	2005	2012	200000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	13.8	2009	2019	179000 км.	1.8 л	Бусад	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 20	13.5	2006	2016	300 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Toyota Crown	16.9	2008	2017	23 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	24.2	2014	2024	125000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser 200	125.0	2016	2016	110000 км.	4.4 л	Шаргал	Жийп	Зөв	Дизель
Lexus HS	35.0	2010	2023	156000 км.	2.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Land Cruiser Prado	63.0	2007	2023	159000 км.	2.7 л	Саарал	Жийп	Буруу	Бензин
BMW Бусад	115.0	2015	2023	82000 км.	2.0 л	Бор	Жийп	Зөв	Дизель
Toyota Crown	42.0	2014	2023	200000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Lexus NX	93.0	2016	2024	110000 км.	2.5 л	Бусад	Жийп	Зөв	Хайбрид
Toyota Mark	82.0	2003	2023	180 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Бензин
Hyundai Sonata	38.8	2017	2024	78000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Бензин
Nissan Serena	12.5	2009	2018	279000 км.	2.0 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Crown	30.5	2012	2024	160000 км.	3.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Aqua	16.9	2014	2024	158603 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 30	19.0	2013	2020	190000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Цахилгаан
Lexus RX	48.0	2009	2022	143000 км.	3.5 л	Хар	Жийп	Буруу	Бензин
Toyota Sai	25.2	2010	2024	140000 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 50	42.0	2017	2023	115000000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Цахилгаан
Toyota Alphard	68.0	2013	2024	170000 км.	2.4 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Subaru Impreza	30.0	2018	2022	102000 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Prius 30	13.7	2009	2017	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Aqua	17.5	2014	2024	86500 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus RX	139.0	2017	2024	40000 км.	3.5 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 40	24.5	2012	2022	200000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Hyundai Sonata	9.5	2010	2015	99999 км.	2.0 л	Хар	Гэр бүлийн	Зөв	Газ
Toyota Prius 40	30.5	2012	2024	153000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Ford Mustang	88.0	2018	2020	30000 км.	2.3 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Sai	25.5	2010	2023	117000 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Хайбрид
Toyota Sai	22.0	2009	2023	184000 км.	2.4 л	Бор	Суудлын тэрэг	Буруу	Бензин
Mazda CX	35.0	2016	2018	55000 км.	2.4 л	Хар	Жийп	Зөв	Бензин
Toyota Prius 20	13.0	2005	2019	177000 км.	1.5 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Lexus RX	47.0	2009	2021	188000 км.	4.5 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Prius 30	17.0	2009	2019	1 км.	1.5 л	Саарал	Суудлын тэрэг	Зөв	Бензин
Toyota RAV4	58.0	2016	2024	93000 км.	2.5 л	Хар	Жийп	Зөв	Бензин
Lexus LX	95.0	2010	2011	120000 км.	5.7 л	Цагаан шар	Жийп	Зөв	Бензин
Nissan X-Trail	34.0	2014	2022	200000 км.	2.0 л	Хар	Жийп	Буруу	Бензин
Subaru Impreza	30.0	2013	2022	180000 км.	2.0 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Mercedes-Benz GLK-Class	43.8	2009	2019	110000 км.	3.0 л	Цагаан шар	Жийп	Зөв	Бензин
Lexus NX	83.0	2015	2024	79000 км.	2.0 л	Бусад	Жийп	Зөв	Бензин
Toyota Prius 20	12.5	2011	2017	120000 км.	1.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Harrier	24.2	2007	2017	123 км.	2.4 л	Шаргал	Жийп	Буруу	Бензин
Hyundai Sonata	22.0	2016	2024	110000 км.	2.0 л	Хар	Суудлын тэрэг	Зөв	Газ
Lexus RX	45.0	2009	2021	200000 км.	3.5 л	Саарал	Жийп	Буруу	Бензин
Toyota Prius 30	18.5	2011	2020	210000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Lexus RX	108.0	2016	2024	160000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
