,mark,price,produced_year,imported_year,type,hurd,hodolguur,distance_num,motor_vol
771,Toyota Prius 30,15.5,2010,2017,Суудлын тэрэг,False,Бензин,220000.0,1.0
772,Toyota Prius 30,21.0,2012,2021,Суудлын тэрэг,False,Хайбрид,123000.0,1.0
773,Toyota Prius 20,11.5,2008,2015,Суудлын тэрэг,False,Хайбрид,220000.0,1.0
774,Toyota Prius 40,30.5,2012,2024,Суудлын тэрэг,False,Бензин,130000.0,1.0
775,Toyota Sai,18.0,2010,2018,Суудлын тэрэг,False,Хайбрид,200000.0,2.0
776,Renault Бусад,42.0,2019,2021,Жийп,True,Бензин,31342.0,2.0
777,Subaru XV Crosstrek,30.0,2015,2024,Жийп,False,Бензин,180000.0,2.0
778,Toyota Crown,47.0,2014,2021,Суудлын тэрэг,False,Хайбрид,88888.0,3.0
779,Subaru Forester,62.0,2021,2023,Жийп,False,Бензин,39000.0,2.0
780,Toyota Prius 30,24.9,2010,2010,Суудлын тэрэг,False,Хайбрид,185000.0,1.0
781,Lexus HS,32.0,2012,2023,Суудлын тэрэг,False,Бензин,140000.0,2.0
782,Toyota Prius 30,19.8,2012,2021,Суудлын тэрэг,False,Хайбрид,180000.0,1.0
783,Toyota Land Cruiser 200,180.0,2016,2017,Жийп,True,Дизель,114000.0,4.0
784,Toyota Land Cruiser 200,105.0,2013,2013,Жийп,True,Бензин,128000.0,4.0
785,Toyota Prius 20,14.0,2007,2018,Суудлын тэрэг,False,Хайбрид,199998.0,1.0
786,Toyota Prius 30,14.0,2010,2019,Суудлын тэрэг,False,Бензин,90000.0,1.0
787,Toyota Crown,7.0,2004,2009,Суудлын тэрэг,False,Бензин,50000.0,2.0
788,Mitsubishi Outlander,12.5,2005,2014,Жийп,False,Бензин,250000.0,2.0
789,Toyota Harrier,35.0,2006,2022,Жийп,False,Хайбрид,193000.0,3.0
790,Toyota Prius 20,10.0,2004,2019,Суудлын тэрэг,True,Бензин,10000.0,5.0
